This table was created by HITRAN. (Aoki 2020/10)
 #Interval (1 = 42087-36363 cm-1 (0.2376-0.2750 micron), 2 = 36363-35087 cm-1,.....,39 = 1960-2200 cm-1 (4.5455-5.1 micron))
 !Newly added the 39th interval (1960-2200 cm-1)
 #Temperature (100,150,200,250,300,350,400,600)
 #P(bar)    K1  K2 ....K8 (cm^2/molecule)

Quadrature weights w(quad)        Quadrature abscissas (g)
   1.65231051440290516E-01           6.59602519928250280E-02
   3.09768948559709378E-01           3.13509004297193250E-01
   3.09768948559709378E-01           6.36490995702806650E-01
   1.65231051440290516E-01           8.84039748007174886E-01
   8.69637112843634277E-03           9.53471592210148655E-01
   1.63036288715636482E-02           9.66500473910378632E-01
   1.63036288715636482E-02           9.83499526089621323E-01
   8.69637112843634277E-03           9.96528407789851300E-01
!------------------------------------------------------------------------------------------------------------------------\

 1
 100.0
 0.00001   1.87603663535E-66 5.61491924299e-63 5.84326324812e-59 2.17584380125e-56 1.14571567848e-55 2.20531288707e-55 9.98315393061e-55 8.6952130487e-53

28
300.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

28
350.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

28
400.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

28
600.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
100.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
150.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
200.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
250.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
300.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
350.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
400.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

29
600.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
100.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
150.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
200.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
250.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
300.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
350.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
400.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
10.0   8.81050200585e-60  2.57431403886e-56  1.68077312289e-52  9.39321858605e-51  3.12798362637e-50  3.68045554126e-50  5.67238905724e-50  9.49157757819e-50
100.0   1.81574951139e-58  3.46470927561e-52  1.40780911052e-51  1.15793489437e-50  1.85268068933e-50  1.89512674352e-50  1.93098732385e-50  1.94175801594e-50

30
600.0
1e-05   1.87603663535e-66  5.61491924299e-63  5.84326324812e-59  2.17584380125e-56  1.14571567848e-55  2.20531288707e-55  9.98315393061e-55  8.6952130487e-53
0.0001   1.87584984067e-65  5.60750820211e-62  5.77590365628e-58  2.15937420987e-55  1.11331281854e-54  2.14873816929e-54  9.40014355664e-54  4.06643591795e-52
0.001   1.87604359979e-64  5.60731414659e-61  5.75088146904e-57  2.14918584959e-54  1.10327148407e-53  2.07581938455e-53  8.66582368839e-53  2.80312881458e-51
0.01   1.87644968838e-63  5.6072951691e-60  5.69459296075e-56  2.13995997787e-53  1.08730834927e-52  2.03641216823e-52  8.39917576753e-52  2.08246601542e-50
0.1   1.87755505385e-62  5.5850440024e-59  5.64849767983e-55  2.1251110065e-52  1.05919001451e-51  1.97519428244e-51  7.74225242657e-51  1.49753128244e-49
1.0   1.87565907822e-61  5.44102076895e-58  5.36294411928e-54  2.0510593283e-51  9.06579351539e-51  1.55113053241e-50  4.88091732557e-50  2.89942228368e-49
